"","ctrl.avg","trtA.avg","trtB.avg","trtAvsCtrl.p","trtAvsCtrl.FDR","trtAvsCtrl.logFC","trtAvsCtrl.FC","trtBvsCtrl.p","trtBvsCtrl.FDR","trtBvsCtrl.logFC","trtBvsCtrl.FC"
"gene16",0.285024913519149,-0.168497821083959,-0.636181986114278,0.166311803905915,0.846056692608395,-0.453522734603109,-1.36937989339141,0.0117688175198568,0.168125964569383,-0.921206899633428,-1.89369882194201
"gene14",0.379628446205666,-0.0220775136765941,-0.233019189437868,0.158908087772734,0.846056692608395,-0.40170595988226,-1.32106912705214,0.0415819548343795,0.462021720381994,-0.612647635643534,-1.52906277342962
"gene13",-0.0839191853622599,-0.00856559395715481,0.245109642703818,0.758841501741077,0.999788769951829,0.0753535914051051,1.05361923678395,0.196529023068498,0.758677488674832,0.329028828066078,1.25616748174784
"gene20",-0.20627771788838,-0.0124617815891531,-0.0570441119499998,0.438156116536824,0.913597984800145,0.193815936299227,1.14378503609912,0.548266079734117,0.946838432653528,0.14923360593838,1.1089801987963
"gene17",-0.100252938826879,0.161688832285677,0.00894675268540354,0.324241313983774,0.913597984800145,0.261941771112555,1.19909151605493,0.67540557214531,0.946838432653528,0.109199691512282,1.07862972055161
"gene12",-0.212970761002141,0.0148247024364253,-0.151065217515871,0.306046182490612,0.913597984800145,0.227795463438566,1.17104414590584,0.775975836592497,0.957823738069814,0.0619055434862699,1.04384358237952
"gene15",-0.0989256436994475,0.128609591992665,-0.0344690811173036,0.358682106031192,0.913597984800145,0.227535235692112,1.17083293654533,0.791175191794061,0.957823738069814,0.0644565625821438,1.04569097251086
"gene18",0.193851548563898,0.0167138354981719,0.170960683009403,0.440525612682089,0.913597984800145,-0.177137713065726,-1.13063848754907,0.919510788547021,0.957823738069814,-0.0228908655544954,-1.0159932840218
"gene19",0.105067159778607,0.220477872574436,0.114778007795507,0.607069204129025,0.941770427597805,0.115410712795829,1.08328339553393,0.965273039454079,0.975023272175837,0.00971084801690041,1.006753751333
"gene11",0.245547598742278,0.241202371924397,0.169562281090663,0.982930806807804,0.999788769951829,-0.00434522681788085,-1.00301642199056,0.709207955939365,0.946838432653528,-0.075985317651615,-1.05408069582699
